ID,Comment,Label,Subject
33,บางครั้งอาจารย์ข้ามเนื้อหาสำคัญ,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
34,ไม่มีเวลาให้ซักถามในคลาส,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
35,วิชาเรียนยากสำหรับผู้ไม่มีพื้นฐาน,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
36,ตัวอย่างในเอกสารไม่ครบถ้วน,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
37,ต้องพึ่งพาอินเทอร์เน็ตในการหาข้อมูล,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
38,มีความรู้สึกว่าไม่ได้รับคำแนะนำที่เพียงพอ,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
39,บางบทเรียนยากเกินความสามารถ,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
40,โครงสร้างหลักสูตรไม่ชัดเจน,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
41,การบ้านไม่เหมาะสมกับเวลาเรียน,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
42,ไม่มีเวลาฝึกทำงานกลุ่ม,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
43,ไม่ค่อยเข้าใจการเชื่อมโยงเนื้อหา,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
44,เนื้อหาเยอะและซับซ้อนในครั้งเดียว,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
45,สอบมีข้อสอบเชิงลึกที่ไม่สอนในคลาส,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
46,รู้สึกว่าวิชานี้ยากเกินไป,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
47,ต้องการตัวอย่างเพิ่มเติม,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
48,เนื้อหาบางส่วนไม่เกี่ยวข้องกับชีวิตจริง,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
49,ระบบคอมพิวเตอร์ที่ใช้เรียนล้าสมัย,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
50,ไม่มีเวลาเพียงพอสำหรับการฝึกเขียนโปรแกรมในห้องเรียน,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
51,สอนกว้างไปไม่รู้จะโฟกัสที่ไหน,Negative,การเขียนโปรแกรมภาษาคอมพิวเตอร์
52,วิชานี้ช่วยให้เข้าใจการจัดเก็บข้อมูลอย่างมีประสิทธิภาพ,Positive,โครงสร้างข้อมูล
53,ได้เรียนรู้การออกแบบอัลกอริทึมที่ดี,Positive,โครงสร้างข้อมูล
54,อาจารย์อธิบายโครงสร้างข้อมูลได้ชัดเจน,Positive,โครงสร้างข้อมูล
55,มีตัวอย่างปฏิบัติที่ช่วยเข้าใจ,Positive,โครงสร้างข้อมูล
56,ช่วยพัฒนาความคิดเชิงตรรกะ,Positive,โครงสร้างข้อมูล
57,ได้ลองเขียนโปรแกรมที่เกี่ยวข้องกับโครงสร้างข้อมูล,Positive,โครงสร้างข้อมูล
58,ได้เรียนรู้การใช้งาน Stack และ Queue,Positive,โครงสร้างข้อมูล
59,กิจกรรมในห้องเรียนสนุกและท้าทาย,Positive,โครงสร้างข้อมูล
60,ช่วยให้เข้าใจพื้นฐานของการจัดการข้อมูล,Positive,โครงสร้างข้อมูล
61,ตัวอย่างในห้องเรียนมีความเกี่ยวข้องกับการใช้งานจริง,Positive,โครงสร้างข้อมูล
62,เพื่อนในห้องช่วยเหลือกันดี,Positive,โครงสร้างข้อมูล
63,ได้เรียนรู้การทำงานของ Tree และ Graph,Positive,โครงสร้างข้อมูล
64,อาจารย์ให้คำแนะนำดีมาก,Positive,โครงสร้างข้อมูล
65,ตัวอย่างการใช้งาน Array และ Linked List น่าสนใจ,Positive,โครงสร้างข้อมูล
66,ช่วยให้เข้าใจพื้นฐานการพัฒนาโปรแกรมใหญ่,Positive,โครงสร้างข้อมูล
67,ได้ลองแก้ปัญหาที่เกี่ยวข้องกับการจัดการข้อมูล,Positive,โครงสร้างข้อมูล
68,เนื้อหาในคลาสมีความชัดเจน,Positive,โครงสร้างข้อมูล
69,อาจารย์เตรียมเอกสารการสอนมาอย่างดี,Positive,โครงสร้างข้อมูล
70,การบ้านช่วยฝึกฝนการใช้โครงสร้างข้อมูล,Positive,โครงสร้างข้อมูล
71,กิจกรรมกลุ่มช่วยให้เข้าใจเนื้อหา,Positive,โครงสร้างข้อมูล
72,ได้เรียนรู้การประยุกต์ใช้อัลกอริทึม,Positive,โครงสร้างข้อมูล
73,ทำให้เข้าใจการจัดการหน่วยความจำในโปรแกรม,Positive,โครงสร้างข้อมูล
74,มีโจทย์ท้าทายที่พัฒนาทักษะการเขียนโปรแกรม,Positive,โครงสร้างข้อมูล
75,เนื้อหาเชื่อมโยงกับวิชาอื่นในหลักสูตร,Positive,โครงสร้างข้อมูล
76,อาจารย์สร้างบรรยากาศการเรียนที่ดี,Positive,โครงสร้างข้อมูล
77,ตัวอย่างในคลาสซับซ้อนเกินไป,Negative,โครงสร้างข้อมูล
78,เนื้อหาเยอะจนไม่สามารถทำความเข้าใจได้หมดในเวลาเรียน,Negative,โครงสร้างข้อมูล
79,ไม่มีเวลาเพียงพอสำหรับการฝึกปฏิบัติ,Negative,โครงสร้างข้อมูล
80,การบ้านยากเกินไปสำหรับนักศึกษาที่ไม่มีพื้นฐาน,Negative,โครงสร้างข้อมูล
81,ไม่เข้าใจการทำงานของอัลกอริทึมบางตัว,Negative,โครงสร้างข้อมูล
82,ตัวอย่างที่อาจารย์ใช้ขาดความเกี่ยวข้องกับชีวิตจริง,Negative,โครงสร้างข้อมูล
83,เอกสารการเรียนไม่ละเอียดพอ,Negative,โครงสร้างข้อมูล
84,ไม่มีการฝึกฝนที่เพียงพอในห้องเรียน,Negative,โครงสร้างข้อมูล
85,รู้สึกว่าวิชานี้ซับซ้อนเกินไป,Negative,โครงสร้างข้อมูล
86,เนื้อหาเกี่ยวกับ Graph ยากเกินไป,Negative,โครงสร้างข้อมูล
87,บางครั้งอาจารย์สอนเร็วเกินไป,Negative,โครงสร้างข้อมูล
88,รู้สึกว่าวิชานี้ต้องมีพื้นฐานมาก่อนถึงจะเข้าใจ,Negative,โครงสร้างข้อมูล
89,การบ้านใช้เวลาทำนานเกินไป,Negative,โครงสร้างข้อมูล
90,การสอบเน้นข้อสอบเชิงลึกที่ไม่ได้อธิบายในคลาส,Negative,โครงสร้างข้อมูล
91,ขาดตัวอย่างในเอกสารที่ชัดเจน,Negative,โครงสร้างข้อมูล
92,รู้สึกว่าไม่ได้รับการสนับสนุนเพียงพอจากอาจารย์,Negative,โครงสร้างข้อมูล
93,เนื้อหามีความซับซ้อนและอาจารย์ไม่อธิบายละเอียดพอ,Negative,โครงสร้างข้อมูล
94,ต้องใช้เวลานอกคลาสเยอะในการเรียนรู้,Negative,โครงสร้างข้อมูล
95,อัลกอริทึมบางตัวสับสนเกินไป,Negative,โครงสร้างข้อมูล
96,ไม่ค่อยมีตัวอย่างที่แสดงการนำไปใช้ในโลกจริง,Negative,โครงสร้างข้อมูล
97,อาจารย์ไม่เปิดโอกาสให้ถามในคลาส,Negative,โครงสร้างข้อมูล
98,การบ้านบางครั้งไม่มีคำอธิบายที่ชัดเจน,Negative,โครงสร้างข้อมูล
99,ไม่เข้าใจความแตกต่างของโครงสร้างข้อมูลแต่ละประเภท,Negative,โครงสร้างข้อมูล
100,รู้สึกว่าวิชาเรียนนี้ยากสำหรับคนไม่มีพื้นฐาน,Negative,โครงสร้างข้อมูล
101,ไม่มีตัวอย่างโปรแกรมที่ครอบคลุมเนื้อหาทั้งหมด,Negative,โครงสร้างข้อมูล
102,"""ช่วยให้เข้าใจการออกแบบฐานข้อมูลอย่างมีประสิทธิภาพ""",Positive,ระบบฐานข้อมูล
103,"""ได้เรียนรู้การใช้งาน SQL ในการจัดการข้อมูล""",Positive,ระบบฐานข้อมูล
104,"""อาจารย์อธิบายความสัมพันธ์ของข้อมูลในระบบได้ดี""",Positive,ระบบฐานข้อมูล
105,"""มีตัวอย่างการออกแบบ ER Diagram ที่ชัดเจน""",Positive,ระบบฐานข้อมูล
106,"""สามารถนำความรู้ไปใช้พัฒนาระบบจริงได้""",Positive,ระบบฐานข้อมูล
107,"""กิจกรรมในห้องเรียนช่วยให้เข้าใจการทำงานของฐานข้อมูล""",Positive,ระบบฐานข้อมูล
108,"""ได้เรียนรู้เกี่ยวกับ Normalization อย่างละเอียด""",Positive,ระบบฐานข้อมูล
109,"""อาจารย์ช่วยแก้ปัญหาให้เมื่อมีข้อสงสัย""",Positive,ระบบฐานข้อมูล
110,"""มีการเชื่อมโยงเนื้อหากับการใช้งานจริงในบริษัท""",Positive,ระบบฐานข้อมูล
111,"""เอกสารการสอนมีความละเอียดและเข้าใจง่าย""",Positive,ระบบฐานข้อมูล
112,"""การบ้านช่วยให้เข้าใจคำสั่ง SQL ได้มากขึ้น""",Positive,ระบบฐานข้อมูล
113,"""ตัวอย่างการใช้งาน JOIN และ Subquery มีประโยชน์มาก""",Positive,ระบบฐานข้อมูล
114,"""ระบบฐานข้อมูลเป็นหัวข้อที่สำคัญและใช้งานได้จริง""",Positive,ระบบฐานข้อมูล
115,"""ได้เรียนรู้การจัดการข้อมูลขนาดใหญ่""",Positive,ระบบฐานข้อมูล
116,"""มีโอกาสทำโปรเจกต์กลุ่มที่เกี่ยวข้องกับฐานข้อมูล""",Positive,ระบบฐานข้อมูล
117,"""เรียนรู้วิธีออกแบบฐานข้อมูลให้มีประสิทธิภาพสูงสุด""",Positive,ระบบฐานข้อมูล
118,"""อาจารย์มีเทคนิคการสอนที่ทำให้เนื้อหาดูง่ายขึ้น""",Positive,ระบบฐานข้อมูล
119,"""สามารถลองสร้างฐานข้อมูลของตัวเองในคลาสได้""",Positive,ระบบฐานข้อมูล
120,"""การสอนเชิงปฏิบัติช่วยเพิ่มความเข้าใจ""",Positive,ระบบฐานข้อมูล
121,"""ได้เรียนรู้เกี่ยวกับ Data Integrity และ Constraints""",Positive,ระบบฐานข้อมูล
122,"""เข้าใจบทบาทของฐานข้อมูลในระบบซอฟต์แวร์""",Positive,ระบบฐานข้อมูล
123,"""เนื้อหาที่เรียนมีการปรับให้ทันสมัย""",Positive,ระบบฐานข้อมูล
124,"""การสอบเน้นความเข้าใจ ไม่ใช่การท่องจำ""",Positive,ระบบฐานข้อมูล
125,"""เพื่อนร่วมคลาสช่วยเหลือกันดีมาก""",Positive,ระบบฐานข้อมูล
126,"""สามารถปรึกษาอาจารย์เรื่องโปรเจกต์ได้ง่าย""",Positive,ระบบฐานข้อมูล
127,"""คำสั่ง SQL ที่อาจารย์สอนมีความซับซ้อน""",Negative,ระบบฐานข้อมูล
128,"""การออกแบบ ER Diagram ยังไม่ค่อยเข้าใจ""",Negative,ระบบฐานข้อมูล
129,"""การบ้านใช้เวลามากเกินไป""",Negative,ระบบฐานข้อมูล
130,"""ไม่มีตัวอย่างการใช้งานฐานข้อมูลแบบซับซ้อนในโลกจริง""",Negative,ระบบฐานข้อมูล
131,"""ขาดเวลาฝึกฝนการเขียน SQL""",Negative,ระบบฐานข้อมูล
132,"""รู้สึกว่า Normalization เข้าใจยาก""",Negative,ระบบฐานข้อมูล
133,"""บางครั้งอาจารย์สอนเร็วเกินไป""",Negative,ระบบฐานข้อมูล
134,"""ไม่เข้าใจความสำคัญของ Data Constraints""",Negative,ระบบฐานข้อมูล
135,"""เนื้อหาเกี่ยวกับ Index และ Optimization ซับซ้อน""",Negative,ระบบฐานข้อมูล
136,"""รู้สึกว่าวิชานี้ยากเกินไปสำหรับผู้เริ่มต้น""",Negative,ระบบฐานข้อมูล
137,"""ตัวอย่างในคลาสไม่ครอบคลุมสถานการณ์จริง""",Negative,ระบบฐานข้อมูล
138,"""การบ้านบางครั้งไม่มีคำแนะนำที่เพียงพอ""",Negative,ระบบฐานข้อมูล
139,"""ไม่มีโอกาสได้ลองทำโปรเจกต์จริงในคลาส""",Negative,ระบบฐานข้อมูล
140,"""เอกสารการสอนบางส่วนไม่ชัดเจน""",Negative,ระบบฐานข้อมูล
141,"""การสอบเน้นเรื่องยากมากกว่าพื้นฐาน""",Negative,ระบบฐานข้อมูล
142,"""อาจารย์ไม่สามารถตอบคำถามได้ทุกข้อ""",Negative,ระบบฐานข้อมูล
143,"""การบ้านไม่สอดคล้องกับสิ่งที่สอนในคลาส""",Negative,ระบบฐานข้อมูล
144,"""รู้สึกว่าบางครั้งเนื้อหาซ้ำซ้อน""",Negative,ระบบฐานข้อมูล
145,"""ต้องค้นคว้าด้วยตัวเองเยอะมาก""",Negative,ระบบฐานข้อมูล
146,"""ไม่มีตัวอย่างที่เหมาะสมกับโปรเจกต์ขนาดเล็ก""",Negative,ระบบฐานข้อมูล
147,"""เนื้อหาส่วนสำคัญบางส่วนไม่ได้ถูกเน้นย้ำ""",Negative,ระบบฐานข้อมูล
148,"""บางครั้งอาจารย์ใช้คำศัพท์ทางเทคนิคที่ยากเกินไป""",Negative,ระบบฐานข้อมูล
149,"""การสอบไม่มีคำถามที่วัดความเข้าใจของผู้เรียนได้ดี""",Negative,ระบบฐานข้อมูล
150,"""ไม่มีโอกาสใช้ซอฟต์แวร์ฐานข้อมูลที่ทันสมัย""",Negative,ระบบฐานข้อมูล
151,"""ขาดความช่วยเหลือในกรณีที่ไม่เข้าใจคำสั่ง SQL""",Negative,ระบบฐานข้อมูล
152,"""ได้เรียนรู้ขั้นตอนการติดตั้งอุปกรณ์ฮาร์ดแวร์อย่างละเอียด""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
153,"""อาจารย์ให้คำแนะนำดีเกี่ยวกับการเลือกอุปกรณ์คอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
154,"""วิชานี้ช่วยให้เข้าใจการประกอบคอมพิวเตอร์เองได้""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
155,"""ได้ทดลองซ่อมเครื่องคอมพิวเตอร์จริงในห้องปฏิบัติการ""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
156,"""การสอนเรื่องการบำรุงรักษาอุปกรณ์ฮาร์ดแวร์เข้าใจง่าย""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
157,"""รู้วิธีการตรวจสอบปัญหาเบื้องต้นของคอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
158,"""มีการสอนเทคนิคการป้องกันปัญหาเกี่ยวกับซอฟต์แวร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
159,"""ได้เรียนรู้วิธีการทำความสะอาดอุปกรณ์คอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
160,"""การใช้งานเครื่องมือสำหรับวิเคราะห์ฮาร์ดแวร์มีประโยชน์มาก""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
161,"""การบรรยายเน้นการปฏิบัติจริงที่นำไปใช้ได้ในชีวิตประจำวัน""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
162,"""รู้จักโปรแกรมสำหรับตรวจสอบและซ่อมแซมซอฟต์แวร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
163,"""อาจารย์มีการสาธิตที่ชัดเจนเกี่ยวกับการอัปเกรดอุปกรณ์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
164,"""ได้ลองเปลี่ยนอะไหล่ในคอมพิวเตอร์ด้วยตนเอง""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
165,"""เรียนรู้วิธีการตั้งค่า BIOS อย่างละเอียด""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
166,"""ได้เรียนรู้ขั้นตอนการสำรองข้อมูลเพื่อป้องกันข้อมูลสูญหาย""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
167,"""การเรียนเน้นให้เข้าใจระบบไฟฟ้าของคอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
168,"""ได้เรียนรู้เกี่ยวกับความปลอดภัยในการจัดการอุปกรณ์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
169,"""มีความเข้าใจเกี่ยวกับระบบการจัดการความร้อนของคอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
170,"""ตัวอย่างการบำรุงรักษาฮาร์ดดิสก์ช่วยให้เข้าใจการทำงานได้ดี""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
171,"""รู้จักโปรแกรมจัดการ Driver ที่มีประโยชน์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
172,"""วิธีการทดสอบการทำงานของอุปกรณ์ฮาร์ดแวร์ชัดเจน""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
173,"""ได้ลองทำงานเป็นกลุ่มในการซ่อมแซมคอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
174,"""เข้าใจการจัดการระบบเครือข่ายเบื้องต้นในคอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
175,"""ได้เรียนรู้การป้องกันไวรัสและมัลแวร์ในเครื่องคอมพิวเตอร์""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
176,"""สามารถนำความรู้ไปช่วยเหลือเพื่อนและครอบครัวได้""",Positive,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
177,"""เนื้อหาเกี่ยวกับการบำรุงรักษาเครื่องยากต่อการเข้าใจ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
178,"""รู้สึกว่าการสอนเรื่องการติดตั้งซอฟต์แวร์ไม่ละเอียดพอ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
179,"""ขาดการฝึกปฏิบัติจริงในห้องเรียน""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
180,"""ไม่มีตัวอย่างที่เกี่ยวกับการซ่อมเครื่องคอมพิวเตอร์ในสถานการณ์จริง""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
181,"""การสอนเรื่องอุปกรณ์ฮาร์ดแวร์ใหม่ๆ ยังไม่ครอบคลุม""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
182,"""อาจารย์พูดเร็วเกินไปในบางส่วน ทำให้ตามไม่ทัน""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
183,"""การบ้านยากเกินไปสำหรับผู้ที่ไม่มีพื้นฐาน""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
184,"""การเรียนเรื่อง BIOS ซับซ้อนและอธิบายไม่ละเอียด""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
185,"""ขาดอุปกรณ์เพียงพอสำหรับการฝึกปฏิบัติในคลาส""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
186,"""ไม่มีการเชื่อมโยงเนื้อหาเข้ากับปัญหาในชีวิตจริง""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
187,"""รู้สึกว่าเนื้อหาเกี่ยวกับการสำรองข้อมูลน้อยเกินไป""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
188,"""ไม่มีการสอนเกี่ยวกับการอัปเกรดซอฟต์แวร์เวอร์ชันใหม่""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
189,"""คำแนะนำเกี่ยวกับการจัดการฮาร์ดแวร์ยังไม่ชัดเจน""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
190,"""รู้สึกว่าเวลาเรียนในห้องปฏิบัติการไม่เพียงพอ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
191,"""การสอบเน้นเรื่องทฤษฎีมากกว่าการปฏิบัติ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
192,"""เครื่องมือที่ใช้ในคลาสมีปัญหา ทำให้ไม่สามารถฝึกได้เต็มที่""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
193,"""การสอนเรื่องการจัดการไวรัสในระบบไม่ครอบคลุม""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
194,"""อุปกรณ์ในห้องเรียนล้าสมัย ทำให้การเรียนรู้ขาดประสิทธิภาพ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
195,"""การเรียนเรื่องระบบไฟฟ้าของคอมพิวเตอร์ยากเกินไป""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
196,"""ไม่มีการแนะนำวิธีการเลือกซื้ออุปกรณ์ที่เหมาะสม""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
197,"""การบำรุงรักษาเครือข่ายไม่ถูกอธิบายอย่างละเอียด""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
198,"""รู้สึกว่าเนื้อหาในวิชาไม่ทันสมัยตามเทคโนโลยีใหม่ๆ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
199,"""ไม่มีคำแนะนำเกี่ยวกับโปรแกรมจัดการ Driver ที่ดี""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
200,"""การจัดการหน่วยความจำและอุปกรณ์เก็บข้อมูลยังไม่ชัดเจน""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
201,"""การบ้านไม่มีคำแนะนำที่ช่วยเสริมความเข้าใจ""",Negative,การติดตั้งและบำรุงรักษาคอมพิวเตอร์
202,"""เข้าใจการทำงานของ Kernel และระบบปฏิบัติการมากขึ้น""",Positive,ระบบปฏิบัติการ
203,"""ได้เรียนรู้การจัดการหน่วยความจำในระบบปฏิบัติการ""",Positive,ระบบปฏิบัติการ
204,"""ตัวอย่างในคลาสช่วยให้เข้าใจ Multithreading""",Positive,ระบบปฏิบัติการ
205,"""การสอนเรื่อง Process และ Thread ชัดเจนมาก""",Positive,ระบบปฏิบัติการ
206,"""ได้ลองเขียนโปรแกรมที่ใช้ Synchronization ด้วยตนเอง""",Positive,ระบบปฏิบัติการ
207,"""การทำงานของ Deadlock และวิธีป้องกันถูกอธิบายอย่างละเอียด""",Positive,ระบบปฏิบัติการ
208,"""มีการเชื่อมโยงเนื้อหาเข้ากับระบบปฏิบัติการที่ใช้งานจริง""",Positive,ระบบปฏิบัติการ
209,"""ได้เรียนรู้เรื่อง Virtual Memory ที่สามารถนำไปใช้งานได้จริง""",Positive,ระบบปฏิบัติการ
210,"""การเรียนเรื่อง File System มีตัวอย่างที่ดีและชัดเจน""",Positive,ระบบปฏิบัติการ
211,"""อาจารย์มีเทคนิคในการอธิบาย Context Switching""",Positive,ระบบปฏิบัติการ
212,"""รู้สึกว่าเข้าใจการทำงานของ CPU Scheduler ดีขึ้น""",Positive,ระบบปฏิบัติการ
213,"""เนื้อหามีการอัปเดตให้สอดคล้องกับเทคโนโลยีปัจจุบัน""",Positive,ระบบปฏิบัติการ
214,"""การบ้านช่วยเสริมความเข้าใจในเนื้อหา""",Positive,ระบบปฏิบัติการ
215,"""ได้เรียนรู้การจัดการ Input/Output Device""",Positive,ระบบปฏิบัติการ
216,"""มีตัวอย่างการแก้ไขปัญหาในระบบปฏิบัติการจริง""",Positive,ระบบปฏิบัติการ
217,"""เนื้อหาเรื่อง Process Synchronization ถูกสอนอย่างเป็นระบบ""",Positive,ระบบปฏิบัติการ
218,"""การทดลองในห้องปฏิบัติการช่วยเพิ่มความเข้าใจ""",Positive,ระบบปฏิบัติการ
219,"""อาจารย์ให้คำแนะนำที่ดีในโปรเจกต์วิชานี้""",Positive,ระบบปฏิบัติการ
